msoa,diabetes,opioids,OME,total,asthma,hypertension,depression,anxiety
E02000057,18.359402111938163,18.359402111938163,34.83102534537071,447.80880372329227,3.8461578908700633,31.903626329128986,8.07558862337823,12.512235972610245
E02000055,23.033542381955826,23.033542381955826,50.031207442899486,578.2911665385009,4.84011151768341,41.17511737945053,10.642086751157589,16.282883706476326
E02000054,25.753884643024623,25.753884643024623,60.32769241651958,674.9535848934647,5.582692464118357,47.88622584703674,12.830482424300506,19.39668312982707
E02000024,33.30450934582085,33.30450934582085,739.3009058023545,1273.1549876635263,11.429556533079984,81.11677501840964,22.276742694484373,31.931286183415573
E02000040,23.943207164102965,23.943207164102965,50.002766380884815,611.2915987610697,6.18094090468811,51.84736604850992,13.139011627963686,20.87461058115048
E02000039,36.90866239200581,36.90866239200581,77.3066929289043,944.3410907028706,9.742273697559753,82.22220379548523,20.933887940008322,33.244918336414074
E02000034,43.49317275947925,43.49317275947925,140.98633171765806,1316.648637418184,12.16698264399868,87.94567523487933,23.507964354611183,35.313786588742346
E02000028,30.556209988856548,30.556209988856548,209.69448394114346,967.8020852819604,9.900675150243234,71.34702645550146,19.686959321806846,29.916007195614235
E02000031,39.33508631175228,39.33508631175228,128.20207070707087,1294.6395680806318,11.278932590531324,85.72956393102493,19.75117758750701,30.775451273666985
E02000035,43.76352660785229,43.76352660785229,157.83895861034046,1386.5767523300747,11.323492085976676,86.26482359660326,22.991810063508233,35.70396851581706
E02000043,44.09107900971111,44.09107900971111,129.62941380396686,1191.6483115774713,9.321726232640632,77.9882607956027,19.089085483282634,29.638954624601002
E02000027,31.876723284233744,31.876723284233744,697.0265546910618,1210.1979056309651,10.91014097572915,77.88557302885158,21.433631988727974,31.07166393966351
E02000042,43.400528342867794,43.400528342867794,152.67460240237997,1197.2381503579652,10.060858298821142,77.96578993130466,20.709917339379302,32.14205584582996
E02000078,50.665266030463286,50.665266030463286,1569.8694170713084,1251.4404338350157,13.473649787715711,115.49585233578748,32.548585999216364,43.37605841184022
E02000081,50.10655969751519,50.10655969751519,1143.790196966973,1292.2202168416727,14.382723918689809,120.50519647723334,32.664228564178856,42.90295450995501
E02000069,45.33936302737958,45.33936302737958,1585.5770288485446,919.7147608418691,10.137433201927593,85.93437001646133,26.305234033424174,34.575014150457235
E02000067,49.415585712995544,49.415585712995544,1343.9712006797865,933.3051777384153,10.382253217441358,89.81820409010618,25.965928462626227,33.98524751231165
E02000070,39.40968538772459,39.40968538772459,1167.0515492577638,763.2825412387535,8.473332879113388,72.04952439433725,21.075023285420265,27.55506781153992
E02000089,46.86028611551352,46.86028611551352,421.0097150350808,1185.8320383540026,12.70306013850024,110.22544217935842,30.227413270202064,38.723058274600255
E02000082,32.17353539953297,32.17353539953297,308.7492618288154,696.5986299342197,7.16277342630764,64.28750520269388,16.69709705043914,22.257707600237538
E02000086,43.83742350479522,43.83742350479522,235.77692328599565,1137.316837064203,11.890700828086542,102.8434151780052,28.011557134895185,36.227961171567586
E02000085,33.26707122016523,33.26707122016523,240.63667402190583,904.7538330821112,9.143739670668726,78.26535734774356,21.134986663087222,28.328724911291907
E02000084,39.59766802563358,39.59766802563358,379.2113764207665,1059.7144447234473,11.088540595566204,91.58529105364994,24.366965066543575,32.61463088528724
E02000088,26.31260911567538,26.31260911567538,193.76339797490752,754.7933645591294,8.229570950164883,68.719599304969,18.573976216723132,24.221518253981213
E02000075,35.210648509208234,35.210648509208234,502.99597637190806,857.7517052187089,9.007947187249025,79.59224545966234,21.334576156211682,28.349495860677376
E02000073,31.599419147491442,31.599419147491442,377.30382383963985,654.7782260177768,6.647363379932086,61.090740091660805,15.730216711506866,20.981591582622233
E02000079,45.33642070627897,45.33642070627897,342.3201741131223,1149.0960993557821,12.286079107062037,102.73640133684981,27.644459381340525,36.70891275909082
E02000087,38.09311148396694,38.09311148396694,415.3603044953139,1203.1122371674187,13.97304744630628,109.58494826836471,29.200767372395497,38.281880743035344
E02000074,49.37211318472764,49.37211318472764,1439.5792923893791,1054.413452891154,10.989655582578074,94.53682349152221,29.27476359504314,39.6421369065231
E02000072,41.994271707268126,41.994271707268126,772.7011520326396,850.5459989041867,8.773410364171799,76.10942391392433,23.01380869536135,31.76960901083326
E02000083,48.14641205198388,48.14641205198388,2165.893630446923,1143.012795722412,11.713591779301629,97.03732347966066,34.75628489219332,46.09589208541265
E02000092,38.166669253263194,38.166669253263194,214.92750223661594,1126.3466131738792,11.195297124133594,94.57973038184555,25.660108554821072,35.0036132447565
E02000091,40.765363555509865,40.765363555509865,193.5359419296336,1143.5713658228515,12.305335530269929,106.09449100616042,29.063878795242235,38.2834309120478
E02000080,35.84105020281577,35.84105020281577,831.9276944750029,744.0228811924728,7.431151260576202,69.22569528229283,18.02272465035296,23.8853438325594
E02006785,32.43631860530397,32.43631860530397,335.18494187045525,560.3911863973876,5.4997151732623495,53.76878072529694,12.850742488925537,17.08273274130501
E02000077,45.17796907506248,45.17796907506248,491.1975989413806,818.4361198984578,8.347907262359946,80.98081048056551,19.911887253583778,26.343416780641302
E02000068,29.5642780296755,29.5642780296755,734.8458836333335,619.3073029881967,6.6175822315679715,56.47571914720009,16.70370255440771,22.594445748284894
E02000066,52.64595952308131,52.64595952308131,330.19892109106945,1048.7747528348964,10.473632866698726,88.45260829410799,25.14756320119723,37.106453161912256
E02000090,44.658850772755585,44.658850772755585,229.4242036471496,1212.9003349803997,13.467989129398498,115.42620854257954,31.806068047864862,41.59130978837342
E02000071,45.06977742415781,45.06977742415781,1364.6168984594879,1011.8204876465217,10.890004875550844,93.17747359188121,27.8013326031651,37.142473878277386
E02000065,51.25700851342685,51.25700851342685,249.63539835566024,1070.025157850995,9.990105440013195,80.2306425058085,22.565137968063112,33.77684073850457
E02000118,58.546653820485254,58.546653820485254,37.63581239959004,658.523279370286,6.631038547112591,54.531836406416666,5.787006407197189,11.15276039376688
E02000121,52.562460330341466,52.562460330341466,38.51778609765339,621.0069928229866,6.187140134594995,49.86382540228765,5.6401700796912255,10.870010543081795
E02000101,56.023797133775375,56.023797133775375,76.38816285591051,1124.2131924921762,9.224851255026117,72.79594963223343,12.555367452403797,22.407728102915026
E02000098,51.13180077048932,51.13180077048932,76.29147389480234,806.2112933113528,7.016200806383576,57.95275581743468,8.872848454704007,16.659307079177314
