msoa,OME,anxiety,asthma,depression,diabetes,hypertension,opioids,total
E02000180,-0.6638823293483875,-2.120634765891506,-2.0967290787318182,-1.9530256260586323,-1.8564869307411782,-2.0052787881511343,-1.8564869307411782,-2.0072169395516144
E02000170,-0.585077186932803,-2.004984556184567,-1.9838297789853312,-1.8635856060977227,-1.7920729049385415,-1.9258183846398764,-1.7920729049385415,-1.9097872068075463
E02000178,-0.6129916962402566,-1.8828991899205292,-1.8987149162976096,-1.75570955367948,-1.6683133174115863,-1.8373648104599,-1.6683133174115863,-1.8027436104398857
E02000169,-0.5371779422287247,-1.468005344176991,-1.559325641217452,-1.3299562801771303,-1.588860462482484,-1.5261105553900587,-1.588860462482484,-1.471385452681909
E02000173,-0.3957167336053193,-0.857136401484638,-1.0671084353227194,-0.7625801161380293,-1.2747639119688792,-1.1413624973159306,-1.2747639119688792,-0.9032213061142772
E02000171,-0.07894391795411176,0.25220663967563695,-0.22690046137693595,0.27770024492024153,-0.7858372032378087,-0.4042839802879106,-0.7858372032378087,0.15279449370453585
E02000172,-0.5110027474752953,-1.5665754325318417,-1.6697956162024548,-1.4374665190680298,-1.6010187855561098,-1.6478330605289213,-1.6010187855561098,-1.4827106554533922
E02000167,-0.4643522865900938,-0.8500183349180976,-1.031911712893951,-0.722363022919161,-1.3831240957673485,-1.0293476741946574,-1.3831240957673485,-1.0201755418569163
E02000177,-0.5635141078848951,-1.7315315448361162,-1.7942381018609175,-1.588481505739094,-1.6838362963126925,-1.7505257844053463,-1.6838362963126925,-1.6504080464654867
E02000166,-0.6125340783367399,-1.6230130836237864,-1.687144639193165,-1.4508459531141598,-1.6370944429371441,-1.6031404899792494,-1.6370944429371441,-1.5214601873821405
E02000168,-0.657383833466384,-2.083979397833169,-2.0676907886568756,-1.917807328562772,-1.853838511459897,-1.9793197834439853,-1.853838511459897,-1.9807582282974256
E02000192,-0.5113937929030018,-1.05924444501061,-1.2118751219753137,-0.850256167476828,-0.9394157772344623,-1.1402583015278351,-0.9394157772344623,-1.0737535057701408
E02000185,-0.4580196729956956,-1.1787684255906625,-1.3437604781329484,-1.1400538894473353,-1.1040472462151119,-1.3185975414835498,-1.1040472462151119,-1.2000460166525522
E02000188,-0.6607950620385646,-2.109934804793268,-2.0900808489483547,-1.9429135291232162,-1.8550931379169358,-2.0005353637835532,-1.8550931379169358,-2.0016617080973074
E02000187,-0.6609431846349899,-2.107029161918193,-2.08822203501363,-1.939061478610166,-1.8483162967626472,-1.9981666553304456,-1.8483162967626472,-1.9994238980543535
E02000182,-0.5135387003690336,-1.0844031635524196,-1.1865419925101472,-0.9972291118014702,-1.274603518186799,-1.2791515432131704,-1.274603518186799,-1.1614824298442274
E02000181,-0.5121334857535628,-1.2207726869761053,-1.3325708254643949,-1.1260769909515371,-1.2973013117833367,-1.3634219890687571,-1.2973013117833367,-1.2666545126389168
E02000175,-0.6274492072993981,-1.907712200142691,-1.914519974005282,-1.7587728556381943,-1.7322586143362901,-1.853699268786008,-1.7322586143362901,-1.8325342312520994
E02000215,0.08562268580613032,0.019476430234067157,0.44799564576051254,0.00574119438603472,-0.155240873739425,-0.1486112032004589,-0.155240873739425,-0.18186737127153813
E02000210,-0.18302553151029793,-0.16570477115458887,0.12757409285206703,-0.16038129722773517,-0.17853734841277993,-0.16256156848742084,-0.17853734841277993,-0.3228447387402927
E02000214,-0.1366533005044224,0.6126545828850134,1.1550028225175568,0.5849566683350168,0.3555038036414952,0.5167154457966864,0.3555038036414952,0.2735140396908352
E02000211,-0.030389962553484355,0.23999450348611542,0.4303062492341928,0.3679990554819301,-0.02042585294789884,0.7712468949264341,-0.02042585294789884,-0.13882554274563977
E02006788,0.003983082976501463,0.8041834160036928,0.8414764893198664,0.7331958253862502,0.718494934669177,0.9499133468581336,0.718494934669177,0.5626860940833673
E02000207,-0.0069736639321493574,0.7601174630570273,0.8112471035654374,0.6701205221177794,0.7241733928592397,0.8829474777731363,0.7241733928592397,0.5574324435238386
E02000202,-0.5008143760748712,-0.9054517744335087,-0.6013982065241779,-1.0332121195352957,-0.0008877367073841806,-0.4330580720488337,-0.0008877367073841806,-0.6392610971148183
E02000203,-0.30924010793764595,-0.4028369642754347,-0.032653673989491504,-0.5880196717544066,0.5714307956276908,0.18168762283491158,0.5714307956276908,-0.11933737255536428
E02000206,0.654732958738702,0.11771308291677295,0.23537330690927216,0.04853143393931449,0.5810615105239227,0.32684205368560787,0.5810615105239227,-0.00031699117242182647
E02000208,-0.2691634501544566,0.020368092641016838,0.38157906131285274,-0.22129313678140186,1.1205229672143864,0.4294824465112355,1.1205229672143864,0.21643709313306542
E02000212,-0.2863730857060633,0.20874365577934648,0.5300465216624974,-0.08431211991840183,1.3852190086524705,0.3807479517801246,1.3852190086524705,0.3681234443988193
E02000209,-0.3928375434180024,-0.20020171024387437,0.19478892932162956,-0.4338495417579921,1.2283699806772377,0.11586675328237875,1.2283699806772377,0.05598058424426259
E02000213,0.008915851905953693,0.30599295850303737,0.5769107197587149,0.1406938325865312,1.1051031698269034,0.42900623943171845,1.1051031698269034,0.3420451171923545
E02000234,-0.05345826210232158,1.1413365385531584,1.3599269287169728,1.1662346943800028,0.49937421694711925,1.3894483362838503,0.49937421694711925,1.5137706835330076
E02000236,-0.11998768828948309,1.136083481491958,1.393847333832739,1.1233756482070687,0.48790962652441416,1.5318849894322366,0.48790962652441416,1.6544045022774752
E02000237,0.8319534352566632,1.2656631282199602,1.3858391867093371,1.4934422434191321,0.28370868990635034,1.4244261714344757,0.28370868990635034,1.9956781505120536
E02000231,-0.1905228704135597,1.1616427651274615,1.4307214489530082,1.0485343287306421,0.6653924359907945,1.4603629033599375,0.6653924359907945,1.2688167696520647
E02000228,-0.22694656820687767,1.3766895718177958,2.019588601261819,1.4107031248382427,0.530277811457016,1.4511039421242815,0.530277811457016,0.7866242014767351
E02000224,-0.3239432569989989,0.7591605228121777,1.2752348337708972,0.7152053607671371,0.2762465577850871,0.8223702697353863,0.2762465577850871,0.3568060827637148
E02006988,-0.1256370287196587,0.538059341175773,0.8468709825341261,0.4366233167681401,0.18713963321606575,0.39380876589922237,0.18713963321606575,0.5793908504269512
E02000222,-0.2297791334660904,0.5822767548493512,1.0293991413170793,0.5551593245794938,0.12329540222501449,0.5834126907077698,0.12329540222501449,0.4349234992239779
