msoa,OverallCycleScore,ScoreCQI,ScoreCQIMean,commute_path,commute_rate,crash_rate,index_length,index_space_syntax,index_space_syntax_length
E02000001,0.2730294967370187,0.12930457109217192,0.7778885613003685,-0.6749590779305047,0.38189088589822273,0.364540810675128,-0.045623526019350664,2.480800269961733,2.9895381949719444
E02000002,-0.7474289707950705,-0.4780435307739672,-0.8539503581205982,-0.6749590779305047,-0.9787520790115827,-0.7201507774361661,-0.5059921872661585,-0.40779928653290104,-0.7905183266717929
E02000003,-0.9061390212852206,-0.7532735448888994,-1.515735877289304,-0.6749590779305047,-1.1880817659207834,-0.4489778804083426,-0.4341890430467241,-0.8783619897076669,-1.0595747104261106
E02000004,-0.6989597326185868,-0.6645411498103356,0.12081763189364718,-0.6749590779305047,-0.821754813829682,-0.17780498338051906,-0.3540791939960938,-0.521545422706886,0.19387358776415625
E02000005,-0.4842099177229011,-0.03416897524006006,-0.3347326893967776,-0.6749590779305047,-1.031084500738883,-0.9913236744639896,0.5241284256398507,-0.25614565284039065,-0.5199390380930523
E02000007,-0.5922393753166623,-0.7632915634090957,-1.0593051466045473,-0.6749590779305047,-0.7694223921023818,0.364540810675128,-0.35069653217260865,-0.4992614542152726,-0.7947673754162533
E02000008,-0.9788417374802133,-0.7952896870208037,0.08908309381467959,-0.6749590779305047,-0.7694223921023818,-0.7201507774361661,0.8155075815857463,-0.2600964186670495,0.4423204218749124
E02000009,-1.298492804290142,-1.2849434814500942,-0.3029070002796274,-0.6749590779305047,-0.8740872355569822,-0.4489778804083426,0.26103071685337254,-0.24036652047336557,0.1096619237316239
E02000010,-0.7030895653018037,-0.32800969149198345,0.6545574413061567,-0.6749590779305047,-0.8740872355569822,-0.9913236744639896,1.0906549375162535,0.671317841127991,0.10180919072091743
E02000011,-1.4157628679539234,-1.3024892774270442,-1.450814057252111,-0.6749590779305047,-0.9787520790115827,-0.7201507774361661,-0.5989444836242099,-0.39423082642902835,-0.43753833301618306
E02000012,-0.5324457480155965,-0.22078853867177753,0.8594116841532827,-0.6749590779305047,-0.9264196572842824,-0.7201507774361661,0.7241193644786191,0.07405589264044443,-0.3730911879199525
E02000013,-0.9048426913934773,-0.7278400448090543,0.7457512977537621,-0.6749590779305047,-0.6124251269204812,-0.7201507774361661,1.11908946366186,0.6958969248262448,0.8395277978677834
E02000014,-0.5701951101833344,-0.2991346917682746,0.45660018906518146,-0.6749590779305047,-0.7170899703750816,-0.7201507774361661,0.8341153235074473,0.7443231996205145,0.653627375356111
E02000015,-0.9181578336733518,-0.8237132820665576,-0.39050608922656377,-0.6749590779305047,-0.821754813829682,-0.4489778804083426,-0.3283603256847079,-0.8623645363622627,-0.8048298406480372
E02000016,-0.18943095453716416,0.29768636622295225,0.2941708294389448,-0.6749590779305047,-0.821754813829682,-0.9913236744639896,-0.19785031603435005,0.4327984732605266,0.05222942576833251
E02000017,0.5015334953348985,1.1659383711362161,0.36810894930916843,0.9553234887430937,-0.9264196572842824,-0.9913236744639896,1.6181687128565927,0.8848471968332465,0.16053087526750687
E02000018,-0.9436435757399996,-0.9107656030756328,-0.08792761879444917,-0.6749590779305047,-0.4554278617385806,-0.4489778804083426,-0.3880313867384366,-0.8861928714984597,-1.2272704559888028
E02000019,-0.5318359136784144,-0.12469878197465183,0.4192413166937764,0.9747774809207752,-0.821754813829682,-0.9913236744639896,-1.0151185006707475,-0.7495428640625837,-1.243055787633816
E02000020,0.7252556831908897,1.2989121844054758,1.7281770737765987,-0.6749590779305047,-0.7170899703750816,-0.7201507774361661,-0.1945943967007559,0.6472800893451975,-0.1804162125762803
E02000021,0.06973431489807287,0.2916520237761239,0.4113781228883696,0.8665690174908983,-0.8740872355569822,-0.17780498338051906,-0.9350625141571286,0.3695447067560405,-0.6019010621404234
E02000022,0.10991349872202369,0.6590079902094269,0.8603851889247554,0.9398686594970141,-0.7694223921023818,-0.9913236744639896,0.16176311740071916,0.32435362303258625,-0.20419284922139386
E02000023,0.7504191296251818,1.1233888704168635,1.9988923575640716,1.0485922737538762,-0.821754813829682,-0.17780498338051906,0.43558866192698176,1.0674560274598652,0.4146800298460252
E02006799,0.0053706679966734425,0.5221008772967903,0.8806713849209978,0.9382803353193317,-0.7170899703750816,-0.9913236744639896,0.7600665318042914,0.25881265098793954,1.1087928710672739
E02000024,-1.2598083253515564,-1.3246156274361176,-1.9067718324898058,0.8660315327294126,-1.031084500738883,-0.17780498338051906,-1.703849513870758,-1.5769005243134102,-1.2371598954771672
E02000025,-1.3303561814559373,-1.0541267755516988,-1.9284557010616046,0.7759356982469007,-1.1880817659207834,-0.9913236744639896,-1.361643616163463,-1.3972492764931128,-0.7703494152247501
E02000026,-1.5851607420949794,-1.3763942968451057,-0.4900289694511401,-0.6749590779305047,-1.1357493441934832,-0.9913236744639896,-0.9700349842462982,-1.70482387178043,-1.3587094358826324
E02000027,-0.6349138137160981,-0.3233570970895285,-0.17455465624391697,-0.6749590779305047,-1.0834169224661832,-0.7201507774361661,0.05536255475618694,-0.7780077157759727,0.024262358365252576
E02000028,-1.4821141130860964,-1.3763942968451057,-2.1195859139644835,0.7602392899184784,-1.031084500738883,-0.7201507774361661,-1.8246569469474707,-1.8719024606091348,-1.151895518233299
E02000029,-1.007730654733183,-0.7912026341384076,-1.146963342086932,0.7438692336484333,-1.031084500738883,-0.7201507774361661,-1.1339575685706014,-1.8611720009058745,-1.3171533682739431
