msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02003012,3.3210332103321036,5,3.4,3.9284132841328416,36.84432234432234,38.787408603818534,0.2148795350215659,0.2069905073869753,0.0
E02003013,1.0230179028132993,5,3.4,3.0092071611253197,32.73913043478261,36.830320188447416,0.1779038347259109,0.1812468474319048,0.0
E02003015,1.8970189701897016,4,4.7,3.3338075880758806,29.096,34.12694606982051,0.1823974485365712,0.188619102807879,0.2685711707697074
E02003016,3.4482758620689653,4,4.9,4.004310344827586,33.37931034482759,38.37718426997402,0.1970605165334156,0.2049645675917369,0.3219335668785664
E02003017,4.643962848297214,2,5.0,3.8075851393188858,30.78328173374613,35.109427964212614,0.1995792436536048,0.1899862609781491,0.2776899254103261
E02003018,0.0,2,3.9,1.6749999999999998,32.92748091603053,34.008856848682996,0.2242156852648352,0.2192928394416005,0.0
E02003020,3.9525691699604746,0,3.9,2.55602766798419,31.567010309278352,33.17793463173721,0.2066349481038768,0.1997536074443478,0.0
E02003021,1.7167381974248928,7,6.6,4.786695278969956,30.661087866108787,35.821799014107086,0.2242972216745244,0.2034273455250083,0.3802136293870972
E02003022,2.7777777777777777,6,5.4,4.561111111111111,35.879629629629626,38.757539493269704,0.2141511123528479,0.2230172459303319,0.0
E02003023,7.97872340425532,1,5.1,4.8164893617021285,36.83160621761658,37.392077612203295,0.1759396484577588,0.1764325492073978,0.0
E02003024,5.681818181818182,8,5.2,6.372727272727273,33.73011363636363,37.31005677755994,0.186661321253322,0.1910079822275847,0.0
E02003025,8.173076923076923,4,6.1,6.194230769230769,35.86036036036036,34.029213807706924,0.202587196008167,0.1835364979921693,0.3587144667239126
E02003026,1.4184397163120568,5,3.8,3.267375886524823,33.318087318087315,37.702034488542054,0.2554635659043615,0.2737109925133684,0.0
E02003027,3.669724770642202,11,7.8,7.267889908256881,31.352459016393443,38.63116944310829,0.1793220705332683,0.1822295098448716,0.0
E02003028,5.138339920948617,5,6.4,5.405335968379447,31.312741312741313,35.50201055570015,0.2040807931965275,0.2038098841885558,0.0
E02003029,10.483870967741936,2,5.4,6.243548387096776,39.314516129032256,41.10064708852329,0.2547681855750682,0.2550575013614478,0.3644266358013961
E02003030,2.923976608187134,4,7.9,4.544590643274853,30.517676767676768,36.14446076600743,0.1948104646113806,0.1826113775157709,0.0
E02003031,9.767441860465116,5,8.5,7.781976744186046,33.776824034334766,40.01716440693375,0.2168591593722865,0.2170899110581146,0.0
E02003032,6.825938566552901,1,4.6,4.23037542662116,33.75085324232082,38.42782100820796,0.1975063111191052,0.2058479170999205,0.0
E02003033,15.68627450980392,6,5.2,9.674509803921566,37.12735849056604,41.41469542687027,0.2428260129164957,0.2448017809602076,0.0
E02003036,10.21671826625387,4,5.0,6.736687306501548,34.36657681940701,39.268927304901695,0.2553515361875403,0.2463415887913689,0.0
E02003037,5.88235294117647,5,4.7,5.277941176470589,30.483018867924528,36.0442285040474,0.1863977640829563,0.200964838551441,0.0
E02003038,3.5897435897435894,3,3.6,3.385897435897436,30.52820512820513,34.311710140448774,0.1675589153728452,0.1780902737592835,0.0
E02003039,2.727272727272727,6,5.8,4.640909090909091,32.35454545454545,35.9397743196599,0.1886656081045724,0.1816046137824768,0.0
E02003040,10.92436974789916,4,9.2,8.069747899159664,37.13333333333333,39.78533003967911,0.2221308453376564,0.2077150986656915,0.0
E02003041,5.150214592274678,1,4.4,3.5100858369098717,31.535864978902953,37.50866624962692,0.229406190908923,0.2355405116476409,0.0
E02003044,3.571428571428571,2,4.2,3.178571428571429,32.52654867256637,35.32766406405439,0.1802505138883459,0.1835419544252859,0.0
E02003045,9.821428571428571,4,5.7,6.753571428571428,31.691304347826087,36.10342193620614,0.1964411030226715,0.1941364476476977,0.0
E02003046,4.699738903394255,6,4.6,5.129895561357702,33.5985401459854,35.68586699752979,0.2024068819664871,0.2012027448122695,0.0
E02003047,14.357682619647354,14,7.0,12.393073047858941,32.65770171149144,35.8150523350524,0.2140924777765233,0.1965476220334784,0.0
E02003048,10.756972111553784,6,5.6,7.802788844621514,29.155963302752298,38.40124085383716,0.2154732019019708,0.1910097091866599,0.0
E02003049,3.081232492997199,1,3.9,2.55749299719888,27.689373297002724,31.55116467976018,0.168651485922217,0.1742777437413684,0.0
E02003050,9.019607843137257,6,5.7,7.132843137254903,30.77203065134099,34.64727818816797,0.1940946772188423,0.2071536063807867,0.0
E02003051,6.557377049180328,1,7.0,4.722950819672131,38.9344262295082,41.89303151495989,0.2907623546277725,0.2808572672547619,0.0
E02003052,3.546099290780142,7,5.6,5.268439716312057,30.3625,34.22856862102585,0.1885682913154387,0.1821873256326839,0.0
E02003053,5.092592592592593,4,4.3,4.512037037037038,31.73148148148148,36.628121427571365,0.2136026601435725,0.2092827162693646,0.0
E02003054,9.34959349593496,2,3.5,5.314837398373984,26.944827586206895,31.96666998911543,0.2305160937521364,0.2039248832140477,0.0
E02003055,11.956521739130435,2,3.9,6.4576086956521745,38.47826086956522,39.202377937625194,0.2290021128868225,0.227036538655294,0.0
E02003056,2.341137123745819,1,3.3,2.111454849498328,33.130434782608695,34.34554519105246,0.216262476167544,0.2023131552836483,0.0
E02003057,4.0,2,3.1,3.075,32.12,36.0283042837527,0.1759438086803657,0.1874923049091565,0.0
E02003058,6.104651162790697,0,2.3,3.016860465116279,33.98837209302326,38.358687700919894,0.1973625816848446,0.2251844215711904,0.0
E02003059,9.126984126984128,1,2.3,4.575793650793651,33.948412698412696,35.89769049364176,0.1845981903051921,0.1869933162045108,0.0
E02003060,5.901639344262295,2,1.9,3.5356557377049187,37.28013029315961,41.5376475920173,0.2166229134199062,0.242781642769086,0.295184548003146
