msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02001930,5.806451612903226,3,3.2,4.172580645161291,33.08588957055215,38.2908679298271,0.2123383197202654,0.2198407865382703,0.0
E02001932,0.6993006993006993,1,1.2,0.9297202797202797,36.06293706293706,36.04159770311099,0.1967913341550623,0.1895031300682619,0.3079259881470615
E02001933,6.58682634730539,4,2.2,4.584730538922155,37.394285714285715,39.3794295298797,0.1988627638585761,0.211514988249103,0.4161280448742756
E02001939,1.556420233463035,4,1.4,2.372568093385214,30.363636363636363,34.2204021479964,0.1702503576045444,0.1905818477334568,0.3046192179318601
E02001945,5.5,3,1.3,3.575,37.8,40.12612135414248,0.2430587216468193,0.2644097816457595,0.3174479267309417
E02001947,2.5906735751295336,2,1.4,2.0862694300518134,30.74439461883408,38.51039920711874,0.2127320726096465,0.2313567506470986,0.0
E02001952,1.937984496124031,3,1.6,2.225193798449612,37.65769230769231,39.31817782825612,0.2095727054178502,0.2254297059966468,0.3410395435041045
E02001953,6.597222222222222,1,1.3,3.3138888888888896,32.41319444444444,35.136112888323225,0.1963690990050963,0.2151874310918675,0.3306582197908572
E02001954,0.6688963210702341,2,1.1,1.2425585284280936,38.702341137123746,37.978300753718585,0.2166066822747134,0.2143590019505846,0.3341299050195532
E02001955,6.164383561643835,1,0.7,2.9907534246575342,35.395089285714285,35.65822829325189,0.2198723349691843,0.204625522365525,0.3150932741183861
E02001957,2.857142857142857,7,0.8,3.7928571428571427,35.96734693877551,37.73290884738814,0.2221897868057269,0.2273397462684445,0.3480516890413943
E02006809,9.502262443438914,2,0.6,4.650904977375566,41.13122171945702,43.502027869890725,0.2402370439532368,0.253683295770386,0.353570297794207
E02006896,15.0,0,1.3,6.325,40.75298804780876,39.86443214145249,0.2985853092603215,0.2683588509208408,0.0
E02001828,0.9615384615384616,0,0.4,0.48461538461538467,32.49038461538461,33.41077274129616,0.1828480918354876,0.1775241644006874,0.0864831639929688
E02001830,6.7669172932330826,2,0.6,3.556766917293233,33.0093984962406,33.443820458269755,0.1851462780342334,0.1767992769270088,0.0
E02001831,5.5045871559633035,0,1.0,2.4518348623853217,36.67278287461774,38.83824765879831,0.2015975674517953,0.2020957072068717,0.0
E02001833,3.067484662576687,0,0.5,1.3519938650306749,32.95092024539877,35.442438113631994,0.2492481494835881,0.2346463918402286,0.0
E02001834,3.076923076923077,1,0.9,1.805769230769231,31.23076923076923,34.25450702133701,0.1881945573545817,0.1955486077889418,0.0
E02001836,2.083333333333333,1,0.9,1.4083333333333332,33.927083333333336,34.980493306710365,0.2044036963969451,0.1984739633776949,0.0
E02001840,9.433962264150944,2,1.4,4.823584905660378,39.72830188679245,40.95992379708038,0.2397932005301728,0.241437542960155,0.0
E02001846,9.774436090225564,5,1.2,5.959774436090226,38.8,41.476843156669325,0.2303525407506178,0.2457368933926658,0.0
E02001857,6.018518518518518,1,1.8,3.2074074074074077,31.152073732718893,32.73850597918056,0.193797043483675,0.1975483134643177,0.0
E02001862,2.6923076923076925,1,0.8,1.626923076923077,33.08802816901409,35.790935834139574,0.2311787219058711,0.2272775883148504,0.0
E02001865,5.714285714285714,2,1.0,3.2357142857142858,34.1,36.628357103571936,0.2025352936446121,0.1941957601956156,0.0
E02001872,4.9079754601226995,2,1.6,3.0631901840490796,37.97546012269939,42.178976278416194,0.229039725655023,0.2250234792310888,0.0
E02001873,7.958477508650519,2,1.0,4.133391003460208,37.948805460750854,38.34158937182595,0.1981061440250635,0.2048435499466351,0.0
E02001875,6.191950464396285,1,1.2,3.126780185758514,32.817629179331306,33.76718100528735,0.2109245461091664,0.1957371206611881,0.0
E02001881,9.032258064516128,0,1.4,3.9629032258064516,36.78260869565217,39.56756453385565,0.2468192565722322,0.240477137890004,0.0
E02001882,6.25,1,1.0,3.1,35.77570093457944,37.826830402933474,0.195674785758619,0.2093297671012304,0.0
E02001889,1.4705882352941175,0,0.8,0.7882352941176471,31.75,37.36959605718936,0.1839449167662275,0.1886635177497972,0.0
E02001897,8.542713567839195,1,1.5,4.142085427135678,33.959715639810426,34.12040958754152,0.2508280663826334,0.2348985338530785,0.0
E02001899,3.557312252964427,1,1.3,2.097924901185771,30.376425855513308,34.287325547946594,0.1960632163351928,0.1942068599583882,0.0
E02001902,0.6578947368421052,0,1.3,0.5881578947368421,27.026315789473685,28.87551805076779,0.1676105172757215,0.1680554631662329,0.0
E02001907,9.90566037735849,5,1.8,6.162264150943396,31.191037735849054,33.91577064103481,0.2141769453738627,0.2041062985726555,0.0
E02001909,9.558823529411764,1,1.7,4.598529411764706,32.471014492753625,36.95307530879521,0.2312169296348826,0.2486250595588911,0.0
E02001914,11.41304347826087,0,2.5,5.190217391304348,37.62105263157895,37.93477938677399,0.2334199454521121,0.2254113224872333,0.0
E02001919,0.0,2,2.2,1.25,35.45544554455446,37.67512158626481,0.2624000818893151,0.2231878760202676,0.0
E02001920,2.34375,0,0.9,1.1625,35.890625,37.81229604268932,0.1903807493183542,0.2005868081601005,0.0
E02001924,2.479338842975207,0,1.1,1.2667355371900828,33.40495867768595,36.064340960422,0.2098353261000166,0.2049457790694718,0.0
E02001926,9.35960591133005,1,2.8,4.793842364532019,35.19211822660098,38.47342786528195,0.2196570876038419,0.2123281265689615,0.3901791658604188
E02001941,17.763157894736842,0,1.4,7.455263157894737,43.30263157894737,43.10750359947784,0.3103399817915819,0.3042603151259248,0.0
E02001949,5.241935483870968,0,1.6,2.4967741935483874,34.71370967741935,38.432702591539545,0.2020821799544571,0.2100567973361134,0.3563434037267912
E02001956,8.761329305135952,1,0.8,4.054531722054381,36.666666666666664,37.98232731764764,0.2185004896865525,0.2085618884892567,0.0
E02006897,10.566037735849058,1,1.5,4.951415094339623,36.13653136531365,36.81334769914032,0.2946285120366757,0.2791932242963047,0.0
E02006898,17.17171717171717,2,1.5,7.943686868686869,42.0,41.46890212878043,0.2618815151934659,0.2297125569705961,0.0
E02006899,16.463414634146343,0,0.8,6.785365853658537,42.43207547169811,40.947115948233275,0.3318691430027649,0.3332612654635736,0.3563923928136488
E02007038,3.8880248833592534,1,1.6,2.3052099533437014,30.625954198473284,29.74725615702683,0.1892328826707935,0.1639143258206274,0.3149234229581521
E02007040,29.37062937062937,0,1.0,11.998251748251748,40.65734265734266,41.255669715538374,0.2690548377092926,0.2587423657908542,0.3285089072265286
E02001829,0.7067137809187279,0,0.4,0.38268551236749115,34.91519434628975,36.22789491661696,0.1996554293038452,0.2077092066277297,0.0877294117472973
E02001835,7.444168734491314,2,0.8,3.877667493796526,31.997518610421835,35.16914090476836,0.2215943557044903,0.2226223316662491,0.2366419495487169
E02001837,5.0,2,1.3,3.0250000000000004,38.3875,38.415606401985826,0.2638363461818411,0.2510825110275396,0.0
E02001838,4.243542435424354,2,0.4,2.4974169741697416,36.77490774907749,33.685580245890186,0.2029779101152836,0.180963837952942,0.1703314630528776
E02001843,0.5181347150259068,0,0.8,0.4072538860103627,27.523316062176164,29.65052796516652,0.1663977615031191,0.1531039464713034,0.0
E02001844,3.0211480362537766,1,1.3,1.8834592145015105,29.347432024169184,32.31446888484681,0.1945243704757128,0.1994864295955997,0.0
E02001845,1.30718954248366,1,0.9,1.097875816993464,34.8562091503268,36.678605119214474,0.2244404050337992,0.2172372793445112,0.0
E02001847,3.930817610062893,0,0.7,1.7473270440251574,29.42476489028213,30.367468230265057,0.1804904563655694,0.1643630537424608,0.1316914705726219
E02001848,6.363636363636363,0,1.6,2.9454545454545453,31.728070175438596,33.546318721814394,0.2034418846582286,0.1933452666115066,0.0
E02001850,9.278350515463918,0,0.6,3.8613402061855675,24.919172932330827,34.006686537485606,0.1597753951827681,0.1614078612575453,0.0
E02001851,8.208955223880597,1,1.3,3.9585820895522392,33.95754716981132,36.59496037878264,0.2046758430472659,0.2156817276586713,0.0
E02001852,7.586206896551724,3,1.3,4.40948275862069,34.70469798657718,35.994898452080484,0.238384878339448,0.2172332178220832,0.0
E02001858,18.803418803418804,5,1.1,9.546367521367522,37.256410256410255,41.95263340468052,0.2371094875954224,0.2380409533542354,0.0
E02001859,5.381165919282512,3,0.8,3.402466367713005,28.83982683982684,30.114652724165072,0.1704230321967906,0.16228820140445,0.1508652810405314
E02001860,3.7383177570093458,1,0.7,2.0203271028037384,32.42056074766355,34.39960132602666,0.205760857659919,0.1936589241582455,0.0
E02001861,13.580246913580249,3,1.3,6.8070987654321,36.34567901234568,36.695704960856105,0.2480378634897491,0.2492572978675835,0.0
E02001863,9.424083769633508,0,0.9,3.9946335078534037,32.695378151260506,35.286694671497884,0.2628283745157693,0.2283575788863774,0.0
E02001866,14.85148514851485,2,1.0,6.890594059405941,37.663366336633665,40.69215845983557,0.228315587437353,0.2462709710796632,0.0
E02001870,0.9523809523809524,0,0.9,0.605952380952381,31.685185185185187,36.04460604503792,0.2053949081265886,0.1907164261876328,0.0
E02001871,10.891089108910892,3,1.7,5.831435643564356,41.554455445544555,42.204701895540545,0.2443536432436279,0.2229697541396944,0.0
E02001876,13.398058252427184,5,1.0,7.359223300970874,35.111009174311924,35.911478598163136,0.2589705517263991,0.2446858148351487,0.3512823339203003
E02001877,3.8461538461538463,0,0.6,1.6884615384615385,36.16153846153846,38.846248830769355,0.1931236861204935,0.2010622592196263,0.0
E02001879,13.725490196078432,4,1.5,7.265196078431373,39.84555984555985,42.762116420264384,0.2206994604539262,0.2177736664128781,0.0
E02001880,0.7352941176470588,6,1.3,2.719117647058823,40.786764705882355,41.24436417288819,0.2344184606271125,0.2302893677977534,0.0
E02001883,3.2653061224489797,1,1.4,2.006122448979592,36.86122448979592,37.39168696240899,0.2329282689279127,0.2328964413608314,0.0
E02001886,9.67741935483871,4,1.4,5.620967741935484,39.10138248847926,38.49128048147288,0.2274046730832402,0.2186618962537627,0.0
E02001890,1.0752688172043012,3,1.8,1.9301075268817203,28.49462365591398,32.62499183357745,0.2250163171296605,0.2448548359915583,0.0
E02001895,6.132075471698113,2,1.6,3.552830188679245,35.27358490566038,38.00213424096331,0.1930048499658242,0.196801353095858,0.0
E02001896,7.954545454545454,3,0.9,4.456818181818182,37.06818181818182,38.18912335541945,0.2547707689155569,0.2346743317037244,0.0
E02001901,8.29875518672199,3,2.4,4.969502074688796,33.053497942386834,38.13239328172523,0.1929458617081007,0.2142678909553438,0.0
E02001904,8.038585209003216,2,1.8,4.365434083601286,29.75235109717868,35.177796102431046,0.1850126849298208,0.2017250322724539,0.290628759555863
E02001910,10.638297872340424,4,2.2,6.205319148936169,36.18041237113402,40.5886840089287,0.2416627327406054,0.2455375478432151,0.4353540992951026
E02001916,3.418803418803419,1,1.3,2.042521367521368,31.036585365853657,34.54281938524964,0.2318405992685583,0.2176675838073425,0.3797815889788947
E02001921,5.263157894736842,1,1.4,2.805263157894737,36.94736842105263,38.14086032215305,0.2445276054380498,0.2313488179057553,0.3310591883450571
E02001922,11.904761904761903,2,2.0,5.961904761904762,35.66136363636364,38.60032937248184,0.2293536012112917,0.21773878819421,0.4023451477952815
E02001927,11.11111111111111,2,1.4,5.4944444444444445,36.52991452991453,37.34894131275404,0.2417671480652153,0.2284730144103171,0.3407720274914558
E02001929,6.306306306306306,3,1.6,3.9725225225225222,40.67567567567568,41.10076084864886,0.2694223585756372,0.2937786195849542,0.5412615285890947
E02001931,3.375527426160337,3,1.2,2.700210970464135,34.65822784810127,36.43363511547979,0.2126590147002494,0.2054904029955599,0.0
E02001934,0.0,3,0.8,1.2499999999999998,29.272058823529413,30.87944005019482,0.2097265112982318,0.212960821907419,0.0
E02001935,3.0054644808743167,2,1.4,2.252185792349727,31.95026178010471,37.00056981283235,0.1771719679119323,0.185350309869089,0.3081234614244618
E02001936,12.87878787878788,1,1.9,5.976515151515152,35.5,39.49721392378531,0.21178314828403,0.2142625990258185,0.400774609129623
E02001937,11.16751269035533,0,1.2,4.767005076142132,37.95939086294416,40.042611057378245,0.2110475460700648,0.2242861155360537,0.4102523837534687
E02001938,6.506849315068493,1,2.9,3.6777397260273976,33.60738255033557,35.18845890234752,0.2368975652481224,0.2239477895546283,0.3784786286448002
E02001942,5.263157894736842,1,2.6,3.1052631578947367,30.55921052631579,36.6806570765263,0.199021202933968,0.2177657469075838,0.3688340268074193
E02001943,7.28476821192053,1,1.2,3.563907284768212,37.602649006622514,38.27688890283398,0.2221203877916948,0.2072058737090243,0.3521396454166509
E02001944,7.860262008733625,1,1.4,3.84410480349345,38.03056768558952,40.85860410612463,0.206950687794669,0.2113722608908245,0.401981971142015
E02001946,5.666666666666666,1,1.4,2.966666666666667,35.246875,38.956743624719515,0.2482346996099714,0.2414929825803468,0.3147418481086711
E02001948,0.6369426751592357,4,0.7,1.8297770700636942,36.93630573248408,38.28504940217946,0.2274116847198068,0.2260515580031273,0.3660680443663074
E02001950,5.3156146179401995,3,0.8,3.37624584717608,34.62458471760797,36.23342534287913,0.2253684419186324,0.2193917474329905,0.3347002925623339
E02001951,4.40771349862259,1,0.6,2.263085399449036,40.35967302452316,41.2805479399598,0.2163487209179482,0.2175906129128136,0.0
E02006807,5.263157894736842,1,0.9,2.680263157894737,35.780701754385966,37.967877551411334,0.2338251706745492,0.2253901809099096,0.1369540326318962
E02006895,7.638888888888889,0,1.8,3.505555555555556,33.28104575163399,33.90377815819388,0.2198475806512925,0.2089496112474029,0.0
E02006900,5.167173252279635,2,0.7,2.941869300911854,37.31496062992126,38.40074694132737,0.2414614037609348,0.2127301916006535,0.2846596749693604
E02007039,16.939890710382514,0,1.0,7.025956284153006,34.17297297297297,36.33143007096904,0.2496263705278256,0.2033981413826577,0.327345226639718
