msoa,OverallCycleScore,ScoreCQI,ScoreCQIMean,commute_path,commute_rate,crash_rate,index_length,index_space_syntax,index_space_syntax_length
E02001827,-1.517638295930069,-1.231928064699054,0.38220856346333504,-0.7334339001891856,-1.3573821199765947,-1.0448172647278544,0.2725363285397639,-1.041794704223363,-0.5375065885192449
E02001832,0.46073639241504044,0.8371388479108626,1.026024100899638,0.3873664575302462,-0.6715469435673681,-1.0448172647278544,1.6749022251132024,-0.756581230723051,-0.06812252881563341
E02001839,-0.706103399858962,-0.5859808146789295,-1.334198218565016,-0.7334339001891856,-0.8430057376696747,-0.38176015441979294,-1.2069957923542425,-0.9387073315796,-0.8462675391784399
E02001841,-0.8601814391925562,-1.1341268662515627,0.35269031258335165,0.6560306464813386,-0.6715469435673681,0.94435406619633,-0.14810226165926785,-1.2328781463231464,-1.0271340452133106
E02001842,0.9618315652010835,1.2029407330131678,-2.476847570385615,-0.7334339001891856,-0.8430057376696747,-0.38176015441979294,-2.3884285037002315,-0.3625600334717708,-1.8026776095541437
E02001849,-1.4871558500262494,-1.3576724627029717,-0.8370545929680868,-0.7334339001891856,0.7001234092510848,-1.0448172647278544,-0.890839140977723,-0.2632395479007245,-0.1354436404740371
E02001855,0.8637165311620797,1.0184897824742942,1.0090333122847774,1.2573872486260698,2.5861701443764575,-1.0448172647278544,1.0202860694930016,-1.07876449547449,-0.5027525925613439
E02001856,1.0054917475013618,0.9989078090517226,0.3610839473407654,-0.7334339001891856,0.014288232841858454,0.28129695588826853,-0.6344833128326807,-0.4103329742242875,-0.7015715803903403
E02001867,-0.9790206570691915,-0.8522882793379442,-0.3954184224717717,-0.7334339001891856,-1.185923325874288,-0.38176015441979294,-0.8827606018209977,-0.22885632457402894,-0.6376510579542971
E02001868,-1.3464810626101629,-1.035152480036435,-0.7249790267203938,-0.7334339001891856,-1.5288409140789012,-1.0448172647278544,0.5326689029300558,0.3129816489905499,0.7413336513645633
E02001869,1.080404016487795,1.3961298535828235,-0.3707849512708553,-0.7334339001891856,0.7001234092510848,-1.0448172647278544,-0.6160145791537437,0.20081805243720843,0.17248381737045484
E02001874,-0.46434495868597675,-0.1418417366794806,0.11410776843537074,-0.7334339001891856,-0.8430057376696747,-1.0448172647278544,0.6025737791853572,-0.38441574081413077,0.28779046986197887
