MSOA,Longitude,Latitude,Score
E02000976,-0.186302730327006,51.5172768800034,7.798858447488584
E02000275,-0.376020654080836,51.5052456032123,6.383060109289617
E02000625,-0.133908397948941,51.475621878342,10.190196078431374
E02000024,-0.199871813419522,51.6701698675162,1.7879327902240325
E02000379,-0.249382516535859,51.5046070681871,4.219701986754967
E02000249,-0.351411868870341,51.5370950270878,7.008333333333334
E02000601,-0.292715111671145,51.4228240993842,8.91549295774648
E02000953,-0.183567455256409,51.4410664684284,5.710810810810811
E02007113,-0.00464698937523921,51.5116919730338,9.266666666666666
E02006994,0.0416546312142418,51.4953803363348,9.01025459688826
E02000723,0.0554172922810308,51.5449457020342,17.133739837398373
E02000047,-0.263374076719326,51.6091940115617,3.759083044982699
E02000578,-0.214730906647599,51.5246389662444,8.7
E02000226,-0.0587961967435456,51.3594043965942,1.5857142857142859
E02000930,-0.166193651055769,51.471498039113,10.059767025089606
E02000747,-0.00554053352115218,51.5238926611862,7.069186046511628
E02000403,-0.100214560456861,51.6084250990336,7.120050761421321
E02000071,0.154916091588102,51.4794511640486,3.7574324324324326
E02000201,-0.0681646282740458,51.4035015631527,6.296385542168675
E02000906,-0.0234217912455521,51.5960093406865,15.866115702479338
E02000776,0.0816364829565276,51.5641612742983,12.855985915492957
E02000555,-0.127065239078462,51.5737640631845,8.122883597883597
E02000426,-0.153781683758981,51.5860580825193,4.976190476190476
E02000095,-0.272598408460999,51.5905583017405,4.729455445544555
E02000532,-0.244779454490665,51.4880006360864,7.61153846153846
E02000457,-0.375467075693849,51.5837399899266,7.734042553191492
E02000801,-0.346603109939918,51.434526543966,5.50128205128205
E02000119,-0.25663216645884,51.5469428231214,6.5625
E02000826,-0.0842278608868971,51.4809083844706,10.800675675675675
E02000144,0.0193438630816978,51.4071989808316,4.746779141104294
E02000219,-0.0376008747596379,51.3813896377242,3.7350117096018742
E02000849,-0.151062690153338,51.374144427903,5.119465648854963
E02000409,-0.0794091904240175,51.5977265121435,18.25789473684211
E02000168,-0.14082193853409,51.5618164222553,9.334730538922155
E02000873,-0.0429360330782604,51.5310962225597,10.266666666666666
E02000298,-0.0912321571004612,51.6394014292574,7.483333333333333
E02000432,-0.105208680880358,51.5772664990437,10.73771186440678
E02000706,-0.16744375916646,51.4113414670034,4.45339116719243
