msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02001611,3.794037940379403,0,0.6,1.6676151761517612,34.37127371273713,34.92900983716112,0.1957901274393944,0.2004130086540574,0.0
E02001612,3.389830508474576,1,1.0,1.9559322033898305,32.90677966101695,36.3185496587975,0.1839160345280208,0.190965240383747,0.4682756498075608
E02001613,0.2481389578163771,0,0.3,0.17425558312655084,37.22828784119107,35.656700456472535,0.2636943676871613,0.2598498529055456,0.0
E02001614,1.215277777777778,0,0.6,0.6361111111111112,32.609375,32.487922087998136,0.2292761940421627,0.2198570775176596,0.230941386084641
E02001615,1.634472511144131,4,0.7,2.2287890044576524,28.580980683506688,29.63917273273576,0.1705933571295739,0.1751659823250031,0.0
E02001616,0.9569377990430622,0,1.1,0.6577751196172249,32.88516746411483,36.698637114399666,0.2434888480873872,0.2867351765422016,0.0
E02001617,4.166666666666666,0,0.8,1.8666666666666665,32.90833333333333,35.12229780774175,0.3504116611950508,0.3101927278407179,0.0
E02001618,1.9895287958115184,0,1.0,1.0458115183246073,30.871204188481677,30.7017987497328,0.1696257638750644,0.1787167203712041,0.0
E02001619,3.900709219858156,0,1.1,1.8352836879432624,36.6418439716312,40.351444178923096,0.2755897288415472,0.2709124196537783,0.0
E02001620,5.426356589147287,0,0.6,2.3205426356589145,35.13178294573643,37.71646408134673,0.2330115729971445,0.2485360232573475,0.0
E02001621,2.272727272727273,0,1.3,1.2340909090909091,33.265151515151516,39.14456899735207,0.2403310765488098,0.2705132263906413,0.0
E02001622,2.9629629629629632,0,1.4,1.5351851851851852,33.87777777777778,35.440177457015885,0.2365593015402947,0.2377247650566105,0.0
E02001623,6.077348066298343,0,1.0,2.680939226519337,34.47513812154696,37.31128090188442,0.240805014175829,0.2479165682668439,0.0
E02001624,5.263157894736842,0,1.6,2.5052631578947366,31.26736842105263,32.09640026687708,0.2108480838938739,0.1938353873402007,0.0
E02001625,1.5267175572519085,0,1.3,0.9356870229007634,34.33587786259542,39.010144716156006,0.2037224650610862,0.2263389687914204,0.0
E02001626,7.079646017699115,0,1.8,3.2818584070796466,35.230088495575224,40.62450931696313,0.2155126469523632,0.2715273920917579,0.0
E02001627,12.649572649572647,0,1.7,5.484829059829059,29.23076923076923,32.40404741151509,0.2383860657114519,0.2083269838344838,0.5542103497782188
E02001628,10.368663594470046,0,1.4,4.497465437788018,31.702764976958527,30.04978278499208,0.2206821058719645,0.1824994275356646,0.0
E02001629,0.7722007722007722,0,1.3,0.6338803088803089,33.31274131274131,36.476150088450936,0.218387752280439,0.2317374481601498,0.0
E02001630,3.787878787878788,0,1.3,1.8401515151515153,31.795454545454547,35.10069572632716,0.2136130793436206,0.2291469517714203,0.482176879986314
