msoa,OverallCycleScore,ScoreCQI,ScoreCQIMean,commute_path,commute_rate,crash_rate,index_length,index_space_syntax,index_space_syntax_length
E02001611,-0.7062286288241099,-0.5059258708926633,-0.11496304741996906,-0.777810490005674,-1.0449278963394586,-0.6432019047938814,-0.6562192408378695,-0.41708187619877574,-0.2126352008455674
E02001612,-0.5708094792493151,-0.5847116023290317,-0.6131149574855871,-1.0160624544456422,-0.5360934424698092,0.222646813197882,-0.2242213521864026,-0.8078411024179619,-0.5719860491849869
E02001613,-1.4076422360400673,-1.1970716116431226,0.8568586158377811,-2.046119816258158,-1.4265537367416956,-0.6432019047938814,-0.42998548615223153,-0.7445323324611639,-0.729207071295156
E02001614,-1.190714073922042,-1.0085626102818956,-0.7142780177069594,-0.7855758759107995,-1.0449278963394586,-0.6432019047938814,-1.4151357808543275,-1.227499314283353,-1.6319695724165013
E02001615,-0.4426518178365779,-0.9268556423350076,-2.0845480579993807,-0.7027552673666868,-0.9177192828720463,2.8201929671731722,-2.2981762401384875,-1.4989870494832225,-1.4228068844466637
E02001616,-1.1805387414542283,-1.0589167170531506,-0.620466409104567,-0.6764854115253439,-0.40888482900239675,-0.6432019047938814,-0.10605490904720702,0.12239650644542603,1.0158067645294353
E02001617,-0.6127364621444562,-0.4332952747247611,-0.6125864713294887,-0.8983318701626628,-0.7905106694046339,-0.6432019047938814,-0.6111768256029507,1.2556973650303276,0.24412646694092985
E02001618,-0.9982825645631211,-0.8576501629682007,-1.3055218733997236,0.03298097119360883,-0.5360934424698092,-0.6432019047938814,-1.9704286188048539,-1.1777498383011238,-0.892384741400167
E02001619,-0.6274766817234341,-0.4851341334983701,0.6573780283786652,-0.9511210094346806,-0.40888482900239675,-0.6432019047938814,1.0125098896949065,0.13525915538787753,-0.2745934658983671
E02001620,-0.39955620594469154,-0.1877639358823178,0.1437263795504915,-0.898798975088435,-1.0449278963394586,-0.6432019047938814,0.17044966141820947,0.15610624851902302,0.531123989057063
E02001621,-0.9098499276693591,-0.8024507841731895,-0.49121372924829937,-0.8380544569711258,-0.15446760206757215,-0.6432019047938814,0.6543676371569035,-0.2816459420075625,-0.01825703270053049
E02001622,-0.7684294531274326,-0.6679141096186512,-0.282827124655968,-0.9290821497415033,-0.02725898860015997,-0.6432019047938814,-0.49730092191973746,-1.3401087547850856,-1.5332252869521028
E02001623,-0.2302821248697826,-0.060876512154136316,-0.07963326675224885,-1.0451565893687915,-0.5360934424698092,-0.6432019047938814,0.05991008932349197,0.1887816377053585,0.16553861047523943
E02001624,-0.3127951281484369,-0.2195736639914603,-1.1707654577467583,-0.9425060585942145,0.22715823833466495,-0.6432019047938814,-1.5368570855997283,-0.12375517687291228,-0.6969060250686213
E02001625,-1.0500067574091316,-0.9478586031620363,-0.12700304876772378,-1.0512364117568345,-0.15446760206757215,-0.6432019047938814,0.7736912745685716,-0.8688962483643565,-0.6356128481969061
E02001626,0.05196261514505482,0.1344854999844151,0.1771652981754758,0.7675018450103155,0.4815754652694896,-0.6432019047938814,1.114470387324402,-0.32695233496538334,0.8642416575387348
E02001627,1.0866722720506923,1.220142786568867,-1.8635205942296296,1.0018312726093304,0.3543668518020771,-0.6432019047938814,-1.1855374356071882,0.8630007037671508,0.11375793175448347
E02001628,0.62291907891208,0.7755614304091255,-1.0226640532338804,-1.2225966645842394,-0.02725898860015997,-0.6432019047938814,-2.4335811696129253,0.10938884729369439,-1.2650470901700552
E02001629,-1.191761855746996,-1.09492457003735,-0.47502592121920845,-0.9492262492075929,-0.15446760206757215,-0.6432019047938814,-0.14568175309311895,-0.5518247464272268,-0.3079290391420702
E02001630,-0.6251903199808294,-0.5071263766144467,-0.9911354269924727,-1.0451565893687915,-0.15446760206757215,-0.6432019047938814,-0.571672629505849,-0.7687877191167325,-0.5747662597312747
E02001631,2.977770056166868,3.1942728647884646,0.6129088657351388,0.019779399689362303,0.22715823833466495,-0.6432019047938814,1.7200764688500014,0.36102306141249746,0.9234611270452864
E02001632,0.4053956576126272,0.5620706047997843,-0.8429351171874787,-1.0451565893687915,-0.15446760206757215,-0.6432019047938814,-0.9938350934507899,-0.017676221954763885,-0.6160828395320439
E02001633,0.3680438917335672,0.3405874742046003,-0.6695396250296466,0.2809347627642636,-0.02725898860015997,0.222646813197882,-0.8430160980789507,-0.6750946181164519,0.09773871700345725
E02001634,2.0431772136461515,1.8226550607934138,1.5681716149813498,1.6163400007184776,0.8632013056717266,1.0884955311896454,1.6027322619350135,0.9684568910272972,1.0366060572623486
E02001635,3.861045097190402,4.135004154699543,1.7943496769010456,0.3340099603455917,-0.02725898860015997,-0.6432019047938814,0.5275963772060385,0.19547110330470105,0.05894748753386803
E02001636,0.08149588371171536,0.16512523532848128,0.7590652101588266,1.2115114447094142,0.4815754652694896,-0.6432019047938814,0.23474520097242563,1.1364565804332694,1.2272501117639776
E02001637,-0.3378597764163611,-0.19684883449576743,-1.52436131718065,-1.1591138216983121,-0.2816762155349846,-0.6432019047938814,-0.8978202816938606,-0.2500096409896622,-0.45423518752170866
E02001638,0.2026947057133117,-0.3791524666723248,0.8396774708974435,1.5851898101397766,2.13528744034585,1.9543442491814087,1.0848997475138509,0.6005518959805846,0.7740644297338602
E02001639,-0.6970705392160966,-0.6426102543089215,0.9790895102910403,-0.19517160519513257,0.4815754652694896,-0.6432019047938814,0.8213271154917409,0.7113328658622338,0.2585943777561559
E02001640,0.10469800002942731,-0.04226388323494404,0.32482874880672874,1.4624493718661788,1.117618532606551,0.222646813197882,0.11607980367343541,-0.08757504268370775,-0.44459308343225634
E02001642,-0.49088157225079976,-0.5017891885260356,-1.450230082596938,-0.7639691523877773,-0.5360934424698092,0.222646813197882,-0.3996256320536629,-0.9064306612973274,-0.9799019896877089
E02001643,-1.0451260338819306,-1.1498912636540635,-1.496817289841037,-0.19517160519513257,0.22715823833466495,0.222646813197882,-1.7052453172863113,-1.8094704864947757,-1.450418303871599
E02001646,-0.04480100874921559,-0.3922779958971578,-0.9078151440351104,0.9135722750372808,1.372035759541376,1.0884955311896454,-0.4434140408058816,-0.14555704387168633,0.22861716403372204
E02001647,-0.6223041878473208,-0.6137713015662151,-0.08219990036653921,-0.8778298578509185,-0.7905106694046339,0.222646813197882,-0.012617896638825043,0.17177143754388985,0.7773025713850312
E02001648,1.4777550188689783,0.566032018882472,0.08246141100789733,1.6104981325097196,2.5169132807480867,3.6860416851649354,0.23002645379473163,-1.3965404700331447,-1.0685491024328773
