msoa,OME,anxiety,asthma,depression,diabetes,hypertension,opioids,total
E02001062,-0.7311051908282054,-1.4821436447054606,-1.4250046525565598,-1.4780704103329225,-1.3109221244757048,-1.4279308165552553,-1.3109221244757048,-1.4161572105993465
E02001064,-0.530371824839114,-0.8671418817777531,-0.7132283790261577,-1.013125428370347,-0.34740944020083514,-0.885033520082127,-0.34740944020083514,-0.7056190267570938
E02001095,-0.8610696976155634,-1.4686213532984642,-1.439362504531176,-1.4575873092799183,-1.472146561614858,-1.4177554753558665,-1.472146561614858,-1.4363581497705202
E02001091,0.03219516165747817,1.5132310512605145,0.8727405762466682,1.6185230068532166,0.6765909763784738,1.060843001963558,0.6765909763784738,0.6943034919900476
E02001092,-0.2730952100308248,0.2568390335926906,0.2659593380443377,0.02145854443728127,-0.291456618461333,-0.08170128610041212,-0.291456618461333,0.14808093886118678
E02001083,-0.4975297388102575,-0.015693211711155765,0.050752032977397776,0.0024199139518138826,-0.07473559837845338,-0.19509128147653396,-0.07473559837845338,0.017199288059233556
E02001086,-0.38572187099432165,0.3993219630990049,0.4548113294291026,0.2982618802680384,0.7947739261397364,0.39958432010870126,0.7947739261397364,0.5585004364500546
E02001081,-0.5138369968074258,0.5839602306396875,0.8502487014292393,0.549531180618716,0.669600585138626,0.4867213426110474,0.669600585138626,0.7137429529655114
E02001093,-0.7040100645410293,-1.2004909620548,-1.0849662761920857,-1.1787001969860624,-1.2037894799372097,-1.1165555127150262,-1.2037894799372097,-1.143395768125142
E02001094,-0.8889521290889105,-1.5756295228824737,-1.5427620743083075,-1.5508272684176012,-1.5415603085251333,-1.5025383954289202,-1.5415603085251333,-1.5327199834099041
E02001059,-0.24646728019552613,-0.414264280420948,-0.4817593141658271,-0.6156142549646039,-0.6007899747569572,-0.37013927229137233,-0.6007899747569572,-0.2146043689020942
E02001056,0.2401126946876477,0.6409806929606159,0.48490103486314584,0.24063096881044602,0.38960204939218024,0.7468797439259309,0.38960204939218024,1.1376051951704722
E02001045,-0.0801577732624094,0.8922512632622982,0.5968818783701753,0.8697354263025047,0.5874539908122424,0.7251687881101344,0.5874539908122424,0.9959122862583105
E02001046,-0.17775816720238516,0.7464132921899083,0.4785510378600124,0.7359654757359835,0.48490479706766487,0.5742272330745969,0.48490479706766487,0.7951211625202674
E02001048,1.0195643318391843,0.42331837983218346,0.4435375132819684,0.11391569054522749,1.2114559188193423,0.3442533289211517,1.2114559188193423,1.168336801531396
E02001088,0.41926799849503543,1.9720145653629366,1.7229365474564358,1.8743172355486752,1.0968579836759218,1.58667540735951,1.0968579836759218,1.4106934695143762
