msoa,diabetes,opioids,OME,total,asthma,hypertension,depression,anxiety
E02001377,18.20701926052801,18.20701926052801,199.23084393986946,1059.3646310621543,8.615315103004479,42.3239636363848,24.843200324413015,36.4473133839699
E02001383,22.48085852134448,22.48085852134448,139.97147274102434,1074.5424831544397,8.795937202818083,44.07457545534511,24.55866608793003,36.89852948823397
E02001390,10.372167825315518,10.372167825315518,70.69855034941159,498.1963878624889,4.068792470851675,21.99435759922387,10.99521268548081,16.604498054186998
E02001402,5.877916961937337,5.877916961937337,41.99734864117005,308.63535062258194,2.4911069733635514,18.62317568125222,7.923315431004431,10.771537646696123
E02001389,21.60964620368677,21.60964620368677,153.7454761596072,1110.528575427843,9.152146640281265,49.935376419804214,25.756476029871497,38.40699345173567
E02001398,11.111406836218217,11.111406836218217,89.67511732678538,612.3340355824515,4.698290705988318,29.52036988802934,13.798167320896672,20.268087003307198
E02001394,13.053749161768613,13.053749161768613,95.55912216270336,673.8045166521063,5.776242529905529,36.927434657572945,16.798145825564667,24.10210364118888
E02001395,9.690942743253833,9.690942743253833,67.83840426144107,528.321225407519,4.283618178629366,33.21153016170449,13.343626822841227,17.929940079823176
E02001399,9.253132168482306,9.253132168482306,60.793634609953685,488.5560970197418,3.938273406878777,30.9138983062522,13.022500317844157,17.380351043145005
E02001401,19.081786293334353,19.081786293334353,177.73800176050116,841.7012226632465,8.47753574581238,60.13812772112104,19.59067026079882,27.691171042633783
E02001393,23.018776309271114,23.018776309271114,193.15399068594337,1204.1147269861158,10.093630761873088,77.53308976544896,28.372946241603117,39.006151026861744
E02001400,22.870980863197524,22.870980863197524,141.58999186766184,1221.897330775259,9.634623177300744,80.55785333515131,34.54090322981632,44.934227895848906
E02001370,14.522823252323214,14.522823252323214,143.5618174303558,758.461635622367,6.30166063393238,35.27105127229373,15.93830178573913,25.575943769926983
E02001361,23.035668760865164,23.035668760865164,303.49941000915874,1029.8137092371649,8.66922931952491,58.18712834766136,24.378759012707228,39.40440918974035
E02001364,8.089456503049325,8.089456503049325,72.96851773378654,381.83918601757307,3.399598587012735,20.249389464010658,8.959679993758444,14.601517754994093
E02001365,18.80677908208172,18.80677908208172,163.90681002946292,885.9012341423581,7.088399244881917,46.12633618920064,20.44269946840134,33.27627314630037
E02001384,15.686509598308618,15.686509598308618,142.63060081941813,769.5884998165235,6.737910375833113,41.83178229089868,21.213488980935878,30.987182146929143
E02001385,19.09115102189893,19.09115102189893,123.82660771667953,911.1199393903697,7.552591380947181,38.19484146253548,20.42563324348863,30.78117210745495
E02001388,15.14150904809406,15.14150904809406,105.96568877732814,765.4697963628889,6.115257898365139,46.414751970548664,18.24650985341032,25.137636743148768
E02001369,11.07609661385148,11.07609661385148,99.13641369727236,582.4351538496275,5.946531927050987,28.691700332292932,14.426252376541026,22.507680399557167
