msoa,OME,anxiety,asthma,depression,diabetes,hypertension,opioids,total
E02001377,-0.5885354752300579,-0.3612428538349976,-0.3976600222967369,-0.3650614085561743,-0.5656169372365178,-0.7832942583592543,-0.5656169372365178,-0.14383426921023618
E02001383,-0.7021824842997272,-0.3405565464499192,-0.3634503674571628,-0.38386356008897027,-0.21054757989096481,-0.7327470418854343,-0.21054757989096481,-0.11348905818545996
E02001390,-0.8350333782605383,-1.2709501391428157,-1.2587671079012461,-1.28014271908612,-1.2165341791421784,-1.3702918931622374,-1.2165341791421784,-1.2657827937285548
E02001402,-0.890076245993676,-1.5383661529199577,-1.5575792486645736,-1.4831350843837785,-1.5899152701064028,-1.4676314977134872,-1.5899152701064028,-1.6447738157878775
E02001389,-0.6757668430303535,-0.2713999961109093,-0.29598463696909044,-0.30471173528837314,-0.2829276529036212,-0.5635221047223639,-0.2829276529036212,-0.0415417525091487
E02001398,-0.7986403144166409,-1.102990426672704,-1.139540737659903,-1.0949222041629776,-1.1551184111388122,-1.15298559588566,-1.1551184111388122,-1.0375864069885432
E02001394,-0.7873560308100915,-0.9272173415784071,-0.9353776819322133,-0.8966822625056542,-0.9937491599362076,-0.9391137927328137,-0.9937491599362076,-0.91468794227091
E02001395,-0.8405185368409334,-1.2101843532936374,-1.2180793220692463,-1.1249584466477796,-1.273130166341076,-1.0464069270041538,-1.273130166341076,-1.2055539453491662
E02001399,-0.8540289232031147,-1.235380634279079,-1.2834872951491239,-1.1461786318978353,-1.3095033451006148,-1.1127488158894159,-1.3095033451006148,-1.2850567106296207
E02001401,-0.629754225626438,-0.7626741198484415,-0.4237553022122297,-0.7121509799461034,-0.4929415394944214,-0.2689275675036579,-0.4929415394944214,-0.5790106051025955
E02001393,-0.6001896015377202,-0.24393121196507025,-0.11766843496593954,-0.1318141957511011,-0.16585752216816638,0.23333507146945404,-0.16585752216816638,0.14556585011902254
E02001400,-0.6990785050616217,0.027845480301378636,-0.20460403727136592,0.27576720244414527,-0.17813632603827792,0.32067218257765634,-0.17813632603827792,0.18111876375070926
E02001370,-0.6952969583952666,-0.8596481443546815,-0.8358639900652104,-0.953501147049054,-0.8716988998787962,-0.9869402546774564,-0.8716988998787962,-0.7454322317604681
E02001361,-0.3885702978407156,-0.22567279720977157,-0.38744872068960606,-0.39575190130221993,-0.16445410206613253,-0.32526078004253056,-0.16445410206613253,-0.20291568292435222
E02001364,-0.8306800582927263,-1.3627781252536837,-1.3855117964554646,-1.4146516435403218,-1.4061811903514005,-1.4206761537477306,-1.4061811903514005,-1.4984167542367846
E02001365,-0.6562795420498474,-0.5066213375969472,-0.6868564413913547,-0.6558485030641393,-0.515789060846034,-0.6735044429017983,-0.515789060846034,-0.49064113968179895
E02001384,-0.6970828359786441,-0.6115662622082746,-0.7532387016332944,-0.6049143821172179,-0.7750201672907351,-0.7975055168148485,-0.7750201672907351,-0.7231861958943441
