msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02002347,9.62962962962963,2,0.7,4.726851851851852,38.4,41.68566233102527,0.2915903733874858,0.304706896489409,0.0
E02002348,3.278688524590164,0,1.1,1.5864754098360656,35.250803858520904,38.6828321061793,0.1819152233776747,0.1911331174403526,0.0
E02002349,6.145251396648044,0,1.4,2.808100558659218,37.513966480446925,39.1878873146791,0.2750447470600123,0.2531178174340848,0.0
E02002350,3.4965034965034967,1,1.3,2.0736013986013986,36.74475524475525,37.626834615901544,0.2677626930967547,0.2726409000877973,0.0
E02002351,8.155339805825243,1,0.7,3.7871359223300973,32.45631067961165,35.940988587376836,0.164286113914879,0.1667653111616246,0.0
E02002352,8.783783783783784,1,1.1,4.138513513513514,35.913333333333334,38.343012354155455,0.2125129385982179,0.2002950734978585,0.0
E02002353,2.8368794326241136,2,1.8,2.2847517730496456,36.5531914893617,41.071290491100875,0.299988267575188,0.3131749092421576,0.0
E02002354,4.838709677419355,2,1.3,2.9604838709677423,34.50403225806452,36.05241922454976,0.2321808111739246,0.2184368379799938,0.0
E02002356,5.1923076923076925,4,1.2,3.776923076923077,33.530534351145036,35.99716657102334,0.230003374175716,0.2465719592648428,0.0
E02002357,3.690036900369003,0,1.4,1.8260147601476011,35.199261992619924,37.0995182606304,0.2380274231878918,0.2470280046507715,0.0
E02002358,7.792207792207792,3,0.7,4.341883116883117,34.314696485623,35.563964088813556,0.1840142170864513,0.1881155797752612,0.0
E02002359,1.4423076923076923,2,0.3,1.351923076923077,30.30192307692308,27.440035941589592,0.2033272176852203,0.1857617841823624,0.0
E02002360,3.9735099337748343,0,2.4,2.189403973509934,37.4703947368421,37.747565700251435,0.2061258543240579,0.1921784348902001,0.0
E02002361,2.030456852791878,2,1.8,1.9621827411167512,36.578680203045685,38.3317914593966,0.2653467804712509,0.2692118253533203,0.0
E02002362,4.659498207885305,7,1.7,4.738799283154122,35.67741935483871,39.226422293629014,0.2563946413163493,0.2754190235893148,0.0
E02002363,2.82258064516129,1,2.3,2.054032258064516,34.193548387096776,37.16027535982319,0.2601796854562848,0.2654608253223822,0.0
E02002364,4.619565217391304,1,1.3,2.5228260869565218,35.5990099009901,38.969757017106986,0.2532819332522928,0.2586661617833139,0.0
E02002366,4.528301886792453,1,0.8,2.3613207547169814,33.99633699633699,34.74742567841588,0.2374965861070677,0.2449919137703202,0.0
E02002367,8.75,2,2.0,4.7,36.88333333333333,37.58255324334582,0.1928134194260364,0.1881641199138227,0.0
E02002368,5.841121495327103,2,1.0,3.286448598130841,34.00697674418605,35.085238203815415,0.2167571296152804,0.2276576158512515,0.0
