msoa,diabetes,opioids,OME,total,asthma,hypertension,depression,anxiety
E02001893,23.48787535021902,23.48787535021902,211.47900832837735,695.8880422011501,6.396493682526275,33.74388985277215,10.629669462113798,18.179683732628163
E02001892,21.637621493419335,21.637621493419335,68.95248122883999,685.2289411368617,5.934996032020225,28.019898807020276,8.132369827775008,15.46187888249074
E02001904,17.372230976235368,17.372230976235368,81.99037321520242,463.49758227958813,4.794633669513807,22.473029963453456,7.427058390563214,12.518870735684041
E02001902,26.729284575487405,26.729284575487405,744.4788963487963,826.0220419901949,8.639074332498996,52.51491437544114,18.745068696368605,28.344615721340112
E02001915,25.957164763617683,25.957164763617683,161.39965867385865,706.434406932122,8.02435408522382,43.752985696204455,15.347158868181808,22.719489186179143
E02001863,27.25346962196391,27.25346962196391,34.98935786553645,588.1777806874467,5.560804487978158,28.262342563156224,5.448956818986522,10.348860708045892
E02001866,40.16301197418633,40.16301197418633,41.112091020636676,800.180642101273,7.943336693520372,37.7446210407748,6.7849463922910624,12.492532693488393
E02001875,35.00301413742485,35.00301413742485,57.51078906439671,814.3354853954133,7.922445483374815,37.88573284245367,8.014400667467681,15.259218900081217
E02001867,52.853721016761526,52.853721016761526,79.5225493284731,1247.9075653483956,11.63680671045124,56.70420333741144,11.3112547897168,22.86218303606997
E02001876,34.31733904090243,34.31733904090243,45.68007228851226,763.2835412265026,6.914803038832069,35.976923004410175,7.177079132454413,13.55192375301166
E02001856,16.327991816204793,16.327991816204793,28.096415628569087,408.04540052978376,3.851057577881498,20.90246486120348,5.248559821462625,9.40993368921792
E02001928,3.7749958849021708,3.7749958849021708,37.38933362712101,116.36254006008127,1.4084425736374686,7.519780597746632,3.051947215462629,4.571771271331444
E02001920,27.78244299420343,27.78244299420343,369.87376223112335,905.21131749828,10.901366437110969,59.05644935869114,23.42323690637513,35.12954374604883
E02001921,13.713282185888064,13.713282185888064,209.3106107758942,451.1306792553335,5.594435702920667,30.942367310665386,11.191594345254558,16.508396372353708
