msoa,OME,anxiety,asthma,depression,diabetes,hypertension,opioids,total
E02001893,0.2701282072526902,-0.1842494649906311,-0.3246668843935282,-0.3046017771676436,-0.016076058170554547,-0.33579100241742094,-0.016076058170554547,-0.10422622166428447
E02001892,-0.4603351416431246,-0.40420272073281244,-0.4387501458248588,-0.5864955256635281,-0.1744941938344969,-0.5773162463824238,-0.1744941938344969,-0.1324174892279332
E02001904,-0.3935145824341777,-0.642381787759338,-0.7206502971812387,-0.6661106756274189,-0.5396955477609803,-0.81136777441174,-0.5396955477609803,-0.7188541903245584
E02001902,3.0018083448918067,0.6384033775053958,0.22970411682639458,0.6114598276266999,0.26145234935245387,0.45625710546272674,0.26145234935245387,0.239953121889551
E02001915,0.013466305755457063,0.18315917727967676,0.07774388344248333,0.22790571768018028,0.19534370125744938,0.08654531784084049,0.19534370125744938,-0.07633311997011225
E02001863,-0.6343996988577578,-0.8180017446330102,-0.5312511405699764,-0.8893976449802149,0.3063329031751366,-0.5670862710242365,0.3063329031751366,-0.3890991000964685
E02001866,-0.6030200514623891,-0.6445133382017896,0.05771620124723509,-0.7385919092199771,1.4116437361713847,-0.16697914221406318,1.4116437361713847,0.17160760062147992
E02001875,-0.5189750099227844,-0.42060409073455274,0.05255184691945229,-0.5998118167279559,0.9698463934307404,-0.16102489419822746,0.9698463934307404,0.2090444325100113
E02001867,-0.4061624378016662,0.19470745928980204,0.9707503306046948,-0.22766481683021197,2.498218132106263,0.6330252084335909,2.498218132106263,1.3557590044388994
E02001876,-0.5796086699986742,-0.5587763094248633,-0.19653964098741394,-0.6943281907167398,0.911139113852274,-0.24156760611571176,0.911139113852274,0.07402188144966995
E02001856,-0.6697267483033971,-0.8939895605665458,-0.9539044379639783,-0.9120183429703819,-0.6291029662681124,-0.8776381645035223,-0.6291029662681124,-0.8655145215540175
E02001928,-0.6220995722234259,-1.2855443756849994,-1.5577243833086598,-1.1599707123954472,-1.7038864102403142,-1.4423238979022277,-1.7038864102403142,-1.6369594598876391
E02001920,1.0819178771330549,1.18751087097962,0.7889478341486323,1.1395287684457245,0.3516234318980424,0.7322788217978061,0.3516234318980424,0.44939349031793313
