msoa,OME,anxiety,asthma,depression,diabetes,hypertension,opioids,total
E02002340,2.7079753638782047,0.8594171699513263,1.3089080599368876,1.0244379830713695,0.9453372940538027,1.0958455567611192,0.9453372940538027,0.8607947489369068
E02002338,0.6634455647110071,-0.22717986060802806,0.1673853176382418,-0.0688436465453172,-0.3046757160895819,0.004368354774334777,-0.3046757160895819,-0.3462260718444627
E02002337,0.0778629118871141,-0.4555235132833244,-0.06419282117497234,-0.29369807451694324,-0.5688875735747247,-0.21974678206101256,-0.5688875735747247,-0.6066041861728284
E02002339,2.345899092235156,0.7165514628583034,1.1745506217315282,0.8885919415071993,0.7648602029132551,0.9602930374401135,0.7648602029132551,0.6795425686358567
E02002343,4.4867104677859775,0.6896416457851546,1.050919304331206,0.7658717168324906,0.4824619380668243,0.9085938119693443,0.4824619380668243,0.5571473960766951
E02002388,0.11326186211698173,0.4044631639612667,-0.026133062713416227,0.3534862077379021,0.5365889857774958,0.038220517302237404,0.5365889857774958,0.33712500591516986
E02002400,-0.023228579293337374,1.1915041541167168,0.9741606878799935,1.0690058877616313,1.5422785402404908,0.6350688361531429,1.5422785402404908,1.5389032571396337
E02002396,-0.015551243744808995,0.9725151515852705,0.5796070290596353,0.8580585985570456,1.2422118774491346,0.36541645498466224,1.2422118774491346,1.0542855929087178
E02002359,-0.3429294826512829,0.6230545530508582,1.040174944398998,0.6392349685585484,0.7528767901794274,1.4024797575648944,0.7528767901794274,0.8923418731887172
E02002417,0.9071931292064621,-0.08847942177030907,-0.1799906786270439,-0.03291238794165594,0.2919658860502006,0.33596158810495164,0.2919658860502006,-0.282154605566802
E02002418,-0.17213185857706448,-0.23401428973050004,-0.05890395117741047,-0.12078309252333451,0.17274361756864257,0.37649712046538925,0.17274361756864257,-0.2731172826721155
E02002432,3.1449538180964147,1.6484182845658317,0.9511228148500674,1.6512890105037383,1.74524765340898,1.435280159956669,1.74524765340898,1.2119081727918624
E02002351,-0.35446295994075494,0.27923781149775906,0.6145201322181133,0.1721710687082872,0.3298774836442182,0.6681560942571981,0.3298774836442182,0.729055560950984
E02002415,-0.9244916099115136,-1.8950239282017278,-1.8071880503079667,-1.8655658921892826,-2.0266558455860735,-1.796320966364149,-2.0266558455860735,-1.9382131519459345
E02002420,-0.8130056576847154,-1.3857191932646864,-1.327802444479417,-1.3706860558419063,-1.432435210382338,-1.3879492553096975,-1.432435210382338,-1.4339132704756858
E02002419,-0.7702513476764251,-1.192613202421632,-1.1381355841282768,-1.1815407190365295,-1.2162344070706148,-1.2389807461373077,-1.2162344070706148,-1.2405269459995008
E02002380,-0.08415526681925488,1.2360174765521235,0.7030630049083483,1.2365488913883411,1.1441154135267477,0.8255879913942741,1.1441154135267477,0.9226105325945567
E02002375,0.12660710990468182,0.7506692899493632,0.10717247282947905,0.7207319924356805,0.8143304833170921,0.3933626863532889,0.8143304833170921,0.47353300502669793
E02002381,-0.1669356954357688,1.1973563354043042,0.9196660885283583,1.2440017127251222,0.9027235258500519,0.8012721445039435,0.9027235258500519,0.9543461516071671
E02002387,-0.11117393646634766,0.9352563776976568,0.36345159134271793,0.9191265839831547,0.976781224000486,0.5667109733588069,0.976781224000486,0.6866499530656043
E02002393,-0.8012826796647001,-0.9943484022754905,-0.8877609529620385,-1.0866428870672882,-0.555401765764451,-1.079555102116471,-0.555401765764451,-0.8254957543639405
E02002389,-0.7906190043467318,-1.2406076787921079,-1.2109307042143111,-1.2559892913361208,-1.2295039741742175,-1.1973082699224602,-1.2295039741742175,-1.2251775513299752
E02002390,-0.41105782284788556,0.052210594374035454,-0.04991429002533662,-0.05419303467953894,0.15791402924425604,-0.001679137634283376,0.15791402924425604,0.7324184098962654
E02002394,-0.7900183062282755,-1.127317815453112,-1.1027489186303827,-1.174960433297127,-0.9920040036762351,-1.1388189244913787,-0.9920040036762351,-1.0696683261391333
E02002363,-0.7610121700142024,-1.1109533102598415,-0.935547178298915,-1.0641508659794732,-0.9468558534812267,-0.9735431474274344,-0.9468558534812267,-1.112464376840122
E02002367,-0.5104524536976434,-0.38197977062353405,-0.23885069203365528,-0.367718889031988,-0.17550302348357752,-0.3951884625501093,-0.17550302348357752,-0.3423927356272145
E02002371,-0.811778758101123,-1.2981032118946707,-1.107023573137665,-1.2781991521932516,-0.8369525609144186,-1.1457098413285782,-0.8369525609144186,-1.2405664148769748
E02002410,0.07112255674096712,1.0444978507231282,0.9595399743890584,0.9779305094569928,1.2838510846182192,0.6713103969777,1.2838510846182192,1.3562238276671723
E02002414,-0.8833532545460726,-1.7695158637315043,-1.70733541423097,-1.742421897946249,-1.8737343816043657,-1.6916539280639613,-1.8737343816043657,-1.8125163176035382
