msoa,ScoreCQI,crash_rate,commute_rate,OverallCycleScore,ScoreCQIMean,index_length,index_space_syntax,index_space_syntax_length,commute_path
E02001045,3.39622641509434,0,1.5,0.18005816785428316,36.39867109634552,40.14869484461685,0.2061894055753584,0.2037078434323939,0.2013253709693279
E02001046,2.191780821917808,0,1.2,0.17706565058862006,38.048843187660665,40.667336946651766,0.2103753857281605,0.2066530776140891,0.2119589725268503
E02001047,1.8382352941176472,2,1.6,0.31357823603407087,35.48275862068966,39.83869438114253,0.2061975831297607,0.2186430342913322,0.2802152652495757
E02001048,9.946236559139784,0,1.3,0.0922707454821605,34.782051282051285,38.83098526734384,0.1750136829771372,0.1819319127374447,0.1695615199736205
E02001049,1.282051282051282,0,1.7,0.1668153433785301,38.23504273504273,37.46942555720143,0.2104282097357117,0.1975279275246939,0.336129030744645
E02001050,3.146853146853147,1,1.5,0.24685229446508064,35.75496688741722,39.11444896805721,0.2160646462633623,0.2118137536468185,0.2966459595230443
E02001051,0.5405405405405406,2,1.4,0.26879577219448714,37.83783783783784,37.688972755496714,0.2102438100517719,0.2087669064910468,0.3348883268461236
E02001052,5.194805194805195,0,1.0,0.18533265760808582,36.796178343949045,38.0209096623244,0.2093688659254531,0.2114561465490186,0.1700863900512297
E02001053,2.237136465324385,4,1.8,0.4890169138788033,36.693069306930695,40.11120068324704,0.2379525480612545,0.2439196647109465,0.3503482818473517
E02001055,5.185185185185185,0,2.7,0.17759150980837252,33.611702127659576,37.58244832976284,0.1806345302434935,0.1879321532423359,0.3426759759688949
E02001056,12.396694214876034,1,2.3,0.5147727272727274,43.374015748031496,48.358273479048286,0.2513515730631018,0.2758873007592665,0.3462826297858768
E02001059,6.535141800246609,1,2.3,0.17779253229902628,30.616045845272208,37.46693055726474,0.1891294330589034,0.1826422881740708,0.1899321402738331
E02001061,4.946236559139785,1,2.8,0.24262305116158095,36.09247311827957,38.08318396534547,0.1897472539748918,0.1942925803108783,0.2146416689587499
E02001062,6.478209658421672,0,3.0,0.20207174824863988,35.69582909460834,35.834192154250374,0.2102169990638114,0.190932736830464,0.3012433128570646
E02001063,5.076923076923077,4,4.5,0.5095500433028006,39.75,39.96171706232699,0.2159397686292453,0.2156417590043785,0.3558108957757202
E02001064,2.666666666666667,1,2.2,0.23607934412575246,30.876871880199666,35.55622317212241,0.2052711634738625,0.2000284596939953,0.2190755461871961
E02001065,16.222760290556902,0,2.9,0.23500173704742922,37.7409200968523,37.77005646751552,0.2188127616224081,0.2013024803299077,0.2289439701458506
E02001066,1.376146788990826,1,3.6,0.2564853827517239,31.3015873015873,34.35572679765027,0.1910395980002795,0.1880662961609998,0.2292785655001819
E02001067,10.240963855421686,1,2.6,0.3873628859550763,40.710059171597635,41.98175032368933,0.227255003236884,0.2368587306765125,0.2751713261098228
E02001068,18.7683284457478,5,4.4,0.5641595635517159,41.397759103641455,40.550959774451734,0.2307289331730518,0.2216338571375958,0.4252604517010521
E02001069,2.7777777777777777,1,5.7,0.3736954617586532,37.46062992125984,39.06771477358421,0.2109746495015498,0.1940862196762319,0.3390435585900992
E02001070,4.693140794223827,4,3.3,0.35341515688867864,31.728,37.957920526996055,0.1772183100288107,0.1875311816042555,0.2706574292963475
E02001072,2.4390243902439024,4,7.2,0.6461063963462801,34.00813008130081,39.24117722855003,0.2249751642708289,0.2194683719251379,0.4804719378623591
E02001073,4.724409448818897,8,5.9,0.695332580189016,33.83977900552486,38.599578845968054,0.2102745278250731,0.2079343908426795,0.5234440663276905
