msoa,diabetes,opioids,OME,total,asthma,hypertension,depression,anxiety
E02001679,25.957223628507116,25.957223628507116,230.33044656735808,1155.8724038345697,13.923065308592555,79.832094493105,30.25105514640611,41.59759782419073
E02001676,23.18564999409749,23.18564999409749,214.53079591341114,981.5350735986531,10.96897521107409,69.84494002742494,26.542829007838364,35.82731668612068
E02001674,27.759078836468394,27.759078836468394,251.1258230322829,1100.9835977340977,11.330193889194454,77.18033820772457,30.21406589501629,40.81634126916778
E02001669,28.059825989681624,28.059825989681624,266.3637893536253,1088.2586764155792,10.44033106698892,78.96505976164197,31.199648664371885,40.97628716729675
E02001672,51.82076391828868,51.82076391828868,575.80606596549,1939.1322676208451,20.00796118449555,144.43208488550698,48.382250526225725,66.53899705868841
E02006869,25.36511007677214,25.36511007677214,188.3523769187041,829.0395981684416,9.833616412978316,66.17436179850694,27.985936902858818,37.061482189683645
E02001624,58.54246245246086,58.54246245246086,212.25084896199436,2014.7564870445542,20.086006504491536,112.75175436020314,47.74617100651592,65.66302292915087
E02001623,54.9708834378813,54.9708834378813,285.8865175699945,1605.6852811524525,17.43221820920248,90.21857340340564,40.70352240716522,58.57923123115039
E02001620,28.624370794170897,28.624370794170897,153.54782237036315,874.6337987521391,9.364176749392534,53.29414165099321,23.82509367645103,33.05147889052987
E02001617,23.207681684749144,23.207681684749144,123.08596906673674,763.4976351579626,8.068649683255792,51.157275456833545,22.738241064388347,30.26571308111214
E02001648,6.675494944364661,6.675494944364661,44.29641360630484,326.7524533753639,4.494763082148699,25.49894935134954,10.808462092258312,14.315970912675361
E02001646,15.956594035602576,15.956594035602576,80.07126622134362,748.1065091489149,9.280102145061205,45.14392233369244,24.801589244035462,33.730782385982494
E02001640,9.838003655040549,9.838003655040549,58.13262710479849,425.0784244619246,5.827643083762888,33.032977805189624,13.660047726643015,19.11779470089928
E02001630,56.55014071091859,56.55014071091859,281.24115967647066,1630.1878661784351,17.15304844801111,74.93553195883233,34.079066802157364,50.88833993790076
E02001629,48.828392669826506,48.828392669826506,320.8180759685253,1690.1558329437426,16.831407162397422,100.40997049047247,50.004014343814276,72.22988291769938
E02001632,32.0051302728026,32.0051302728026,183.92499310854421,960.055948723842,10.156733220379571,47.0759620424792,21.3206646704203,30.9830182023027
E02006868,50.734746384182266,50.734746384182266,299.27530964662554,1587.1625320359424,16.741491035657095,105.36547146339666,43.89264475919161,60.674069878190465
E02001637,69.0679532174656,69.0679532174656,956.7133473476036,2032.5837216566838,20.0911688353921,118.86517701061271,43.67771058614191,64.61820743392454
E02001614,39.83493391273648,39.83493391273648,223.79225637461013,1478.3088161283538,16.44721399139372,126.43358569334602,42.872133244075826,57.44833828405287
E02001613,49.25366442340824,49.25366442340824,295.702612363296,1797.4797334032978,20.469749235967054,155.14404209141603,52.570878441114345,70.79844106725984
